gender,tenure,PhoneService,TotalCharges,StreamingMovies,StreamingTV,TechSupport,Churn
Female,1,0,29.85,0,0,0,0
Male,34,1,1889.5,0,0,0,0
Male,2,1,108.15,0,0,0,1
Male,45,0,1840.75,0,0,1,0
Female,2,1,151.65,0,0,0,1
Female,8,1,820.5,1,1,0,1
Male,22,1,1949.4,0,1,0,0
Female,10,0,301.9,0,0,0,0
Female,28,1,3046.05,1,1,1,1
Male,62,1,3487.95,0,0,0,0
Male,13,1,587.45,0,0,0,0
Male,16,1,326.8,0,0,0,0
Male,58,1,5681.1,1,1,0,0
Male,49,1,5036.3,1,1,0,1
Male,25,1,2686.05,1,1,1,0
Female,69,1,7895.15,1,1,1,0
Female,52,1,1022.95,0,0,0,0
Male,71,1,7382.25,1,1,0,0
Female,10,1,528.35,0,0,1,1
Female,21,1,1862.9,1,0,0,0
Male,1,0,39.65,1,0,0,1
Male,12,1,202.25,0,0,0,0
Male,1,1,20.15,0,0,0,1
Female,58,1,3505.1,0,0,1,0
Male,49,1,2970.3,0,0,1,0
Female,30,1,1530.6,0,0,0,0
Male,47,1,4749.15,1,1,0,1
Male,1,0,30.2,0,0,0,1
Male,72,1,6369.45,1,1,1,0
Female,17,1,1093.1,1,1,0,1
Female,71,1,6766.95,0,0,1,0
Male,2,1,181.65,1,1,0,0
Female,27,1,1874.45,0,0,1,0
Male,1,1,20.2,0,0,0,0
Male,1,1,45.25,0,0,0,0
Female,72,1,7251.7,0,1,1,0
Male,5,1,316.9,0,0,0,1
Female,46,1,3548.3,0,0,0,0
Male,34,1,3549.25,1,1,0,1
Female,11,1,1105.4,1,1,0,1
Male,10,1,475.7,0,0,0,0
Female,70,1,4872.35,0,1,0,0
Female,17,1,418.25,0,0,0,0
Female,63,1,4861.45,0,1,1,0
Female,13,1,981.45,0,1,1,0
Female,49,1,3906.7,1,0,0,0
Male,2,1,97.0,0,0,0,0
Female,2,1,144.15,0,1,0,1
Male,52,1,4217.8,1,1,1,0
Female,69,1,4254.1,0,0,1,0
Female,43,1,3838.75,0,1,0,0
Female,15,1,1426.4,1,1,0,1
Female,25,1,1752.65,0,1,1,0
Female,8,1,633.3,0,0,0,1
Female,60,1,4456.35,1,0,1,0
Male,18,1,1752.55,1,1,0,1
Female,63,1,6311.2,1,1,0,0
Male,66,1,7076.35,1,1,1,0
Female,34,1,894.3,0,0,0,0
Female,72,1,7853.7,1,1,1,0
Female,47,1,4707.1,1,1,0,0
Male,60,1,5450.7,0,1,0,0
Male,72,0,2962.0,0,0,0,0
Female,18,1,957.1,0,0,1,0
Female,9,1,857.25,1,1,0,1
Female,3,1,244.1,1,1,1,0
Male,47,1,3650.35,0,0,0,0
Female,31,1,2497.2,1,1,1,0
Female,50,1,930.9,0,0,0,0
Male,10,1,887.35,0,0,0,0
Male,1,1,49.05,0,0,1,0
Female,52,1,1090.65,0,0,0,0
Male,64,1,7099.0,1,1,1,0
Male,62,1,1424.6,0,0,0,0
Female,3,1,177.4,1,0,1,0
Female,56,1,6139.5,1,1,0,0
Female,46,1,2688.85,1,0,0,0
Female,8,1,482.25,0,0,0,0
Male,30,1,2111.3,1,1,0,0
Female,45,1,1216.6,0,0,0,0
Female,1,1,79.35,0,1,0,1
Female,11,0,565.35,1,1,0,0
Female,7,1,496.9,0,0,0,1
Female,42,1,4327.5,1,1,1,0
Female,49,1,973.35,0,0,0,0
Male,9,1,918.75,1,1,0,0
Female,35,1,2215.45,0,1,0,0
Female,48,1,1057.0,0,0,0,0
Female,46,1,927.1,0,0,0,0
Male,29,0,1009.25,0,1,0,0
Male,30,1,2570.2,0,0,0,0
Male,1,1,74.7,0,0,1,0
Male,66,1,5714.25,1,1,1,0
Female,65,1,7107.0,1,1,0,0
Male,72,1,7459.05,1,1,0,0
Female,12,1,927.35,0,0,0,1
Male,71,1,4748.7,0,0,1,0
Male,5,1,113.85,0,0,0,1
Male,52,1,1107.2,0,0,0,0
Female,25,1,2514.5,1,1,0,1
Male,1,1,20.2,0,0,0,0
Female,1,1,19.45,0,0,0,0
Male,38,1,3605.6,0,1,1,0
Female,66,0,3027.25,0,1,0,0
Male,68,1,7611.85,1,1,1,1
Male,5,0,100.2,0,0,0,0
Female,72,1,7303.05,1,1,0,0
Female,32,0,927.65,0,0,0,0
Male,43,1,3921.3,1,1,0,0
Male,72,1,1363.25,0,0,0,0
Male,55,1,5238.9,0,1,0,1
Female,52,1,3042.25,0,0,1,0
Female,43,1,3954.1,0,1,0,0
Female,37,1,2868.15,0,0,0,1
Female,64,0,3423.5,1,1,1,0
Male,3,1,248.4,0,1,0,0
Female,36,0,1126.35,0,0,0,0
Female,10,1,1064.65,1,1,0,1
Female,41,1,835.15,0,0,0,0
Male,27,1,2151.6,0,0,1,0
Female,56,1,5515.45,1,1,0,0
Female,6,1,112.75,0,0,0,0
Male,3,1,229.55,0,0,0,1
Female,7,1,350.35,0,0,0,0
Female,4,1,62.9,0,0,0,0
Male,33,1,3027.65,0,1,1,0
Female,27,1,2135.5,0,0,0,1
Male,72,1,1723.95,0,0,0,0
